#F f0_EPDL97.dat
#D Mon Sep 30 15:12:40 2002
#UT Elastic Photon-Atom Scattering, nonrelativistic form factors
#UF0TYPE TABLE ; TABLE TABLE_NOR OR PARAMETRIZATION? 
#UIDL xf0
#C  This file has been created using f0_EPDL97.pro on Mon Sep 30 15:12:40 2002
#C  This file belongs to the DABAX library. More information on
#C  DABAX can be found at:
#C  http://www.esrf.fr/computing/scientific/dabax/
#UD Elastic Photon-Atom Scattering, nonrelativistic form factors
#UD 
#UD
#UD 
#UD The form factors stored in this file come from the 
#UD Evaluated Photon Data Library (EPDL) from the Lawrence Livermore 
#UD National Laboratory: 
#UD    "EPDL97 The Evaluated Data Library, 97 Version"
#UD     Dermott E Cullen, John H Hubbel, Lynn Kissel
#UD        UCRL-50400, Vol 6, Rev 5 (Sep 19 1997)
#UD 
#UD Availability:
#UD In USA: contact the Radiation Safety Information Computational 
#UD         Center (RSICC):
#UD         http://www-rsicc.ornl.gov/rsic.html
#UD In Europe Korea and Japan: contact the Nuclear Energy Agence:
#UD         http://www.nea.fr
#UD         
#UD The argument for the form factor and scattering function is 
#UD x = sin(theta/2)/lambda, where theta is the photon scattering angle, and 
#UD lambda is its wavelength (cm). 
#UD The EPDL97 data base contains data from 0.0 to 1.0e+17 cm^-1. 
#UD The number of data points ranges from about 100 to 174. 
#UD 
#UD Quoted from the above reference of Cullen et al:
#UD The form factors are those of Hubbell [22,23,24]. Hubbell has 
#UD calculated nonrelativistic, relativistic and modified relativistic 
#UD form factors. Based on Hubbell's recommendation the data included in 
#UD EPDL97 are his nonrelativistic form factors, which are currently the 
#UD most widely used of Hubbell's form factors. 
#UD [22] Hubbell et al, J. Phys. Chem. Ref. Data, 4 471 (1975)
#UD [23] Hubbell et al, J. Phys. Chem. Ref. Data, 7 615 (1977)
#UD      Hubbell & Overbo, J. Phys. Chem. Ref. Data, 8 69 (1979)
#UD [24] Hubbell, Radiat. Phys. Chem. 50 113 (1997)
#UD 
#UD 
#UD Note: The data in this file are from reference [22]: 
#UD   J H Hubbell, W J Veigele, E A Briggs, R T Brown, D T Cromer, R J Howerton
#UD   Atomic form factors, incoherent scattering functions and photon scattering cross sections
#UD   J. Phys. Chem. Ref. Data, 4 471-538 (1975)
#UD 
#UD The atomic form factor and also incoherent scattering factor from  [22] are also 
#UD available in ftp://www-phys.llnl.gov/pub/rayleigh/RTAB/data_NF 
#UD  (RTAB Database: L. Kissel, Radiation physics and chemistry 59 (2000) 185-200)
#UD 
#UD 
#UD  The following two arrays are stored: 
#UD     Column 1: X(1/A) = sin(theta/2)/lambda
#UD     Column 2: f0 = form factor (electron units)
#UD
#UD
#S  1 H 
#N 2
#L X(1/A)  f0
#L X(1/A)  f0
     0.000000      3.000000 
 1.000000E-07      3.000000 
 1.000000E-06      3.000000 
 1.000000E-05      3.000000 
 1.000000E-04      3.000000 
  0.001000000      3.000000 
  0.005000000      2.996600 
  0.007187500      2.992870 
  0.009062500      2.988860 
  0.010000000      2.986500 
   0.01500000      2.969900 
   0.01812500      2.956140 
   0.02000000      2.947200 
   0.02500000      2.919000 
   0.03000000      2.885000 
   0.03250000      2.866290 
   0.03625000      2.836440 
   0.03750000      2.825850 
   0.04000000      2.804400 
   0.04437500      2.764580 
   0.04750000      2.734700 
   0.04812500      2.728720 
   0.05000000      2.710600 
   0.05250000      2.685830 
   0.05687500      2.641570 
   0.05875000      2.622460 
   0.06015600      2.608130 
   0.06507800      2.557680 
   0.06625000      2.545480 
   0.07000000      2.507100 
   0.07500000      2.455890 
   0.07875000      2.418100 
   0.08000000      2.405790 
   0.08437500      2.362600 
   0.09000000      2.309000 
   0.09750000      2.240570 
    0.1000000      2.219000 
    0.1125000      2.120340 
    0.1187500      2.076530 
    0.1250000      2.035800 
    0.1312500      1.998540 
    0.1437500      1.933530 
    0.1500000      1.906000 
    0.1625000      1.859520 
    0.1750000      1.818400 
    0.2000000      1.742500 
    0.2250000      1.681130 
    0.2500000      1.625800 
    0.2750000      1.569460 
    0.3000000      1.511500 
    0.3250000      1.452220 
    0.3437500      1.406910 
    0.3718800      1.338180 
    0.3750000      1.330400 
    0.4000000      1.268800 
    0.4250000      1.207140 
    0.4500000      1.146600 
    0.4578100      1.128030 
    0.4859400      1.062840 
    0.5000000      1.031300 
    0.5343800     0.9572080 
    0.5500000     0.9247860 
    0.5718800     0.8805620 
    0.6000000     0.8255000 
    0.6250000     0.7782270 
    0.6625000     0.7113540 
    0.6750000     0.6902530 
    0.7000000     0.6500000 
    0.7500000     0.5768390 
    0.7750000     0.5435800 
    0.8000000     0.5123000 
    0.8500000     0.4549750 
    0.9000000     0.4043700 
    0.9500000     0.3597620 
     1.000000     0.3204600 
     1.062500     0.2777990 
     1.109400     0.2499440 
     1.179700     0.2139250 
     1.187500     0.2103020 
     1.250000     0.1837500 
     1.312500     0.1610050 
     1.406300     0.1327720 
     1.500000     0.1102000 
     1.617200    0.08801280 
     1.712900    0.07373990 
     1.815400    0.06139390 
     1.938500    0.04966050 
     2.000000    0.04481000 
     2.125000    0.03658120 
     2.312500    0.02740100 
     2.500000    0.02089100 
     2.750000    0.01492320 
     3.000000    0.01092000 
     3.250000   0.008150950 
     3.500000   0.006190700 
     3.875000   0.004217860 
     4.000000   0.003738300 
     4.750000   0.001934730 
     5.000000   0.001586900 
     6.000000  0.0007806300 
     7.000000  0.0004265600 
     8.000000  0.0002520900 
     10.00000  0.0001043000 
     15.00000  2.083500E-05 
     20.00000  6.627900E-06 
     50.00000  1.724500E-07 
     80.00000  2.665200E-08 
     100.0000  1.100700E-08 
     154.0600  1.991390E-09 
     213.6700  5.491520E-10 
     285.8500  1.758360E-10 
     352.0800  7.822700E-11 
     433.0700  3.518340E-11 
     537.0100  1.544300E-11 
     652.7599  7.365470E-12 
     739.5700  4.604230E-12 
     869.7800  2.513010E-12 
     1000.000  1.499500E-12 
     1171.400  8.394940E-13 
     1365.400  4.811830E-13 
     1706.700  2.159540E-13 
     2048.600  1.129820E-13 
     2521.700  5.450670E-14 
     3357.900  2.023750E-14 
     4681.900  6.533150E-15 
     6333.900  2.376400E-15 
     8348.700  9.555250E-16 
     13166.00  2.180770E-16 
     19592.00  6.150510E-17 
     35979.00  9.211680E-18 
     82612.00  7.281470E-19 
     287420.0  1.762580E-20 
     1000000.  4.440400E-22 
     5623400.  2.627110E-24 
 7.498900E+07  1.107230E-27 
 1.000000E+09  4.444400E-31 
#S  4 Be
#N 2
#L X(1/A)  f0
     0.000000      4.000000 
 1.000000E-07      4.000000 
 1.000000E-06      4.000000 
 1.000000E-05      4.000000 
 1.000000E-04      4.000000 
  0.001000000      4.000000 
  0.005000000      3.997000 
  0.007500000      3.993120 
  0.009375000      3.989150 
  0.010000000      3.988000 
