 -9999 0.49 0.050 0.163
#S  110 Xx
#N  4
#L  F12  F13  FP13  F23
 -9999 0.48 0.054 0.158
#S  1000 all elements
#N 5
#L Z  F12  F13  FP13  F23
12  0.32 0.64 0.000020 -9999
13  0.32 0.64 0.000016 -9999
14  0.32 0.64 0.000014 -9999
15  0.32 0.63 0.000012 -9999
16  0.32 0.62 0.000014 -9999
17  0.32 0.62 0.000014 -9999
18  0.31 0.62 0.000013 -9999
19  0.31 0.62 0.000012 -9999
20  0.31 0.61 0.000014 -9999
21  0.31 0.60 0.000014 -9999
22  0.31 0.59 0.000015 -9999
23  0.31 0.58 0.000016 -9999
24  0.31 0.57 0.000018 -9999
25  0.30 0.58 0.000019 -9999
26  0.30 0.57 0.000021 -9999
27  0.30 0.56 0.000023 -9999
28  0.30 0.55 0.000024 0.028
29  0.30 0.54 0.000026 0.028
30  0.29 0.54 0.000028 0.026
31  0.29 0.53 0.000030 0.032
32  0.28 0.53 0.000032 0.050
33  0.28 0.53 0.000034 0.063
34  0.28 0.52 0.000036 0.076
35  0.28 0.52 0.000038 0.088
36  0.27 0.52 0.000041 0.100
37  0.27 0.52 0.000044 0.109
38  0.27 0.52 0.000047 0.117
39  0.26 0.52 0.000052 0.126
40  0.26 0.52 0.000058 0.132
41  0.10 0.61 0.000078 0.137
42  0.10 0.61 0.000081 0.141
43  0.10 0.61 0.000088 0.144
44  0.10 0.61 0.000096 0.148
45  0.10 0.60 0.000100 0.150
46  0.10 0.60 0.00011 0.151
47  0.10 0.59 0.00012 0.153
48  0.10 0.59 0.00014 0.155
49  0.10 0.59 0.00016 0.157
50  0.17 0.27 0.00030 0.157
51  0.17 0.28 0.00032 0.156
52  0.18 0.28 0.00034 0.155
53  0.18 0.28 0.00037 0.154
54  0.19 0.28 0.00040 0.154
55  0.19 0.28 0.00043 0.154
56  0.19 0.28 0.00047 0.153
57  0.19 0.29 0.00051 0.153
58  0.19 0.29 0.00055 0.153
59  0.19 0.29 0.00060 0.153
60  0.19 0.30 0.00066 0.152
61  0.19 0.30 0.00072 0.151
62  0.19 0.30 0.00079 0.150
63  0.19 0.30 0.00087 0.149
64  0.19 0.30 0.00096 0.147
65  0.19 0.30 0.0011 0.145
66  0.19 0.30 0.0012 0.143
67  0.19 0.30 0.0013 0.142
68  0.19 0.30 0.0014 0.140
69  0.19 0.29 0.0016 0.139
70  0.19 0.29 0.0018 0.138
71  0.19 0.28 0.0020 0.136
72  0.18 0.28 0.0023 0.135
73  0.18 0.28 0.0026 0.134
74  0.17 0.28 0.0028 0.133
75  0.16 0.33 0.0030 0.130
76  0.16 0.39 0.0029 0.128
77  0.15 0.45 0.0028 0.126
78  0.14 0.50 0.0028 0.124
79  0.14 0.53 0.0028 0.122
80  0.13 0.56 0.0030 0.120
81  0.13 0.57 0.0032 0.118
82  0.12 0.58 0.0035 0.116
83  0.11 0.58 0.0038 0.113
84  0.11 0.58 0.0042 0.111
85  0.10 0.59 0.0047 0.111
86  0.10 0.58 0.0052 0.110
87  0.10 0.58 0.0058 0.109
88  0.09 0.58 0.0064 0.108
89  0.09 0.58 0.0071 0.108
90  0.09 0.57 0.0078 0.108
91  0.08 0.58 0.0084 0.139
92  0.08 0.57 0.0097 0.167
93  0.07 0.57 0.011 0.192
94  0.05 0.56 0.013 0.198
95  0.05 0.55 0.014 0.203
96  0.04 0.55 0.016 0.200
97  0.04 0.54 0.017 0.198
98  0.03 0.54 0.019 0.197
99  0.03 0.54 0.021 0.196
100  0.03 0.53 0.023 0.194
101  0.02 0.53 0.026 0.191
102  0.02 0.52 0.028 0.189
103  0.01 0.53 0.030 0.185
104  0.01 0.52 0.033 0.181
105  0.01 0.51 0.035 0.178
106  -9999 0.51 0.038 0.174
107  -9999 0.50 0.042 0.171
108  -9999 0.50 0.046 0.165
109  -9999 0.49 0.050 0.163
110  -9999 0.48 0.054 0.158
