#F CrossSec_Compton_IntegrHubbell.dat
#C  This file has been created using CrossSec_Compton.pro on Mon Feb  3 12:03:51 2003
#C  This file belongs to the DABAX library. More information on
#C  DABAX can be found at:
#C  http://www.esrf.fr/computing/scientific/dabax
#D Mon Feb  3 12:03:51 2003
#UIDL xcrosssec
#UT Compton Cross Sections (Integrated from inelastic scattering functions)
#UD Compton Cross Sections (Integrated from inelastic scattering functions)
#UD
#UD
#UD
#UD Data in this file has been calculated by doing: 
#UD    i) using the Klein-Nishina formula of cross section versus theta
#UD        in a grid of 360 pts in [0,pi]rad (using code kn_angle.pro)
#UD        See for example the formula 16 in Davisson & Evans, 
#UD        Rev Mod Phys, 24 (1952) 79-109
#UD    ii) use the inelastic scattering function from Hubbell (in DABAX: isf_Hubbell.dat)
#UD        versus x, where x=sin(theta)/lambda, lambda is the incident photon wavelength.
#UD    iii) Multiply i) times ii) times 2*pi*sin(theta) and integrate numerically
#UD       using int_tabulated.pro
#UD
#UD
#UD 
#UD The Compton cross sections is calculated in the energy range 
#UD 10 eV to 10 MeV in a 500 points logarithmic grid for the elements 
#UD Z = 1 - 90.
#UD
#UD
#UD Column description 
#UD 1: PhotonEnergy[kev]
#UD 2: Compton(incoherent)[barn/atom] 
#UD
#S   1 H 
#N 2
#L PhotonEnergy[keV]  Compton(incoherent)[barn/atom] 
       38.297139      0.57877850
       39.372263      0.57699431
       40.477570      0.57516520
       41.613906      0.57329099
       42.782142      0.57137158
       43.983175      0.56940879
       45.217924      0.56740112
       46.487337      0.56534923
       47.792386      0.56325396
       49.134073      0.56111509
       50.513425      0.55893263
       51.931499      0.55670728
       53.389384      0.55443918
       54.888196      0.55212870
       56.429085      0.54977474
       58.013231      0.54737974
       59.641849      0.54494327
       61.316188      0.54246473
       63.037532      0.53994549
       64.807198      0.53738549
       66.626545      0.53478519
       68.496967      0.53214507
       70.419898      0.52946610
       72.396811      0.52674690
       74.429223      0.52399031
       76.518692      0.52119558
       78.666818      0.51836313
       80.875249      0.51549392
       83.145678      0.51258853
       85.479845      0.50964764
       87.879540      0.50667137
       90.346602      0.50366101
       92.882923      0.50061726
       95.490446      0.49754032
       98.171170      0.49443119
       100.92715      0.49129103
       103.76050      0.48812001
       106.67339      0.48491953
       109.66806      0.48169008
       112.74680      0.47843287
       115.91196      0.47514835
       119.16598      0.47183775
       122.51136      0.46850218
       125.95065      0.46514224
       129.48649      0.46175924
       133.12159      0.45835394
       136.85874      0.45492729
       140.70081      0.45148078
       144.65073      0.44801480
       148.71155      0.44453117
       152.88636      0.44103029
       157.17837      0.43751363
       161.59088      0.43398200
       166.12725      0.43043667
       170.79098      0.42687860
       175.58563      0.42330901
       180.51489      0.41972897
       185.58252      0.41613943
       190.79242      0.41254156
       196.14858      0.40893630
       201.65510      0.40532501
       207.31621      0.40170846
       213.13625      0.39808771
       219.11967      0.39446381
       225.27106      0.39083791
       231.59515      0.38721075
       238.09677      0.38358347
       244.78092      0.37995699
       251.65271      0.37633224
       258.71741      0.37271010
       265.98044      0.36909149
       273.44737      0.36547724
       281.12392      0.36186829
       289.01597      0.35826522
       297.12958      0.35466906
       305.47097      0.35108047
       314.04652      0.34750020
       322.86282      0.34392891
       331.92662      0.34036735
       341.24487      0.33681610
       350.82471      0.33327582
       360.67350      0.32974708
       370.79876      0.32623055
       381.20828      0.32272665
       391.91002      0.31923595
       402.91220      0.31575896
       414.22325      0.31229610
       425.85183      0.30884785
       437.80686      0.30541454
       450.09751      0.30199671
       462.73320      0.29859462
       475.72361      0.29520866
       489.07871      0.29183916
       502.80873      0.28848639
       516.92419      0.28515067
       531.43592      0.28183233
       546.35504      0.27853150
       561.69298      0.27524855
       577.46152      0.27198361
       593.67272      0.26873694
       610.33903      0.26550876
       627.47321      0.26229923
       645.08841      0.25910852
       663.19812      0.25593681
       681.81623      0.25278426
       700.95701      0.24965102
       720.63513      0.24653723
       740.86568      0.24344307
       761.66417      0.24036861
       783.04654      0.23731402
       805.02918      0.23427941
       827.62895      0.23126492
       850.86316      0.22827064
       874.74963      0.22529668
       899.30667      0.22234320
       924.55311      0.21941027
       950.50830      0.21649800
       977.19213      0.21360651
       1004.6251      0.21073591
       1032.8281      0.20788631
       1061.8229      0.20505779
       1091.6317      0.20225048
       1122.2774      0.19946448
       1153.7833      0.19669989
       1186.1737      0.19395681
       1219.4734      0.19123536
       1253.7080      0.18853563
       1288.9036      0.18585771
       1325.0873      0.18320173
       1362.2868      0.18056777
       1400.5305      0.17795594
