#F Neutron_SLCS_NeutronNews.dat
#UT Neutron Scattering Lengths and Cross Sections
#UIDL nmirror
#UD Neutron Scattering Lengths and Cross Sections
#UD 
#UD All of these data were taken from the Special Feature section of
#UD neutron scattering lengths and cross sections of the elements and
#UD their isotopes in Neutron News, Vol. 3, No. 3, 1992, pp.  29-37.
#UD 
#UD The contents of the columns are as follows:
#UD 
#UD For the elements: 
#UD Column	Label	         Quantity	
#UD 
#UD     1	NatAb/HalfLife   Natural abundance (For radioisotopes the half-life is given instead)
#UD     2       b_coh_real[fm]   Real part of the bound coherent scattering length in fermi
#UD     3	b_coh_imag[fm]	 Imaginary part of the bound coherent scattering length in fermi
#UD     4	b_incoh_real[fm] Real part of the bound incoherent scattering length in fermi
#UD     5	Sigma_Coh[barn]	    bound coherent scattering cross section in barn
#UD     6	Sigma_Incoh[barn]   bound incoherent scattering cross section in barn
#UD     7	Sigma_Scat[barn]    total bound scattering cross section in barn
#UD     8	Sigma_Abs[barn]	    absorption cross section for 2200 m/s neutrons in barn
#UD 
#UD For the isotopes: 
#UD 
#UD     1	NatAb/HalfLife   Natural abundance (For radioisotopes the half-life is given instead)
#UD     2       b_coh_real[fm]   Real part of the bound coherent scattering length in fermi
#UD     3	b_coh_imag[fm]	 Imaginary part of the bound coherent scattering length in fermi
#UD     4	b_incoh_real[fm] Real part of the bound incoherent scattering length in fermi
#UD     5(new!) b_incoh_imag[fm] Imaginary part of the bound incoherent scattering length in fermi
#UD     6	Sigma_Coh[barn]	    bound coherent scattering cross section in barn
#UD     7	Sigma_Incoh[barn]   bound incoherent scattering cross section in barn
#UD     8	Sigma_Scat[barn]    total bound scattering cross section in barn
#UD     9	Sigma_Abs[barn]	    absorption cross section for 2200 m/s neutrons in barn
#UD 
#UD 
#UD Note: 1fm=1E-15 m, 1barn=1E-24 cm^2, scattering lengths and cross sections in 
#UD parenthesis are uncertainties (not reported)
#UD 
#UD
#S  1    natural.H 
#S  20   natural.Ca 
#N 8
#L NatAb/HalfLife  b_coh_real[fm]  b_coh_imag  b_incoh_real[fm]  Sigma_Coh[barn]  Sigma_Incoh[barn]  Sigma_Scat[barn]  Sigma_Abs[barn]  
1	4.7	0	9999	2.78	0.05	2.83	0.43
#S  21   natural.Sc 
#N 8
#L NatAb/HalfLife  b_coh_real[fm]  b_coh_imag  b_incoh_real[fm]  Sigma_Coh[barn]  Sigma_Incoh[barn]  Sigma_Scat[barn]  Sigma_Abs[barn]  
100	12.29	0	-6	19	4.5	23.5	27.5
#S  22   natural.Ti 
#N 8
#L NatAb/HalfLife  b_coh_real[fm]  b_coh_imag  b_incoh_real[fm]  Sigma_Coh[barn]  Sigma_Incoh[barn]  Sigma_Scat[barn]  Sigma_Abs[barn]  
1	-3.438	0	9999	1.485	2.87	4.35	6.09
#S  23   natural.V 
#N 8
#L NatAb/HalfLife  b_coh_real[fm]  b_coh_imag  b_incoh_real[fm]  Sigma_Coh[barn]  Sigma_Incoh[barn]  Sigma_Scat[barn]  Sigma_Abs[barn]  
1	-0.3824	0	9999	0.0184	5.08	5.1	5.08
#S  24   natural.Cr 
#N 8
#L NatAb/HalfLife  b_coh_real[fm]  b_coh_imag  b_incoh_real[fm]  Sigma_Coh[barn]  Sigma_Incoh[barn]  Sigma_Scat[barn]  Sigma_Abs[barn]  
1	3.635	0	9999	1.66	1.83	3.49	3.05
#S  25   natural.Mn 
#N 8
#L NatAb/HalfLife  b_coh_real[fm]  b_coh_imag  b_incoh_real[fm]  Sigma_Coh[barn]  Sigma_Incoh[barn]  Sigma_Scat[barn]  Sigma_Abs[barn]  
100	-3.73	0	1.79	1.75	0.4	2.15	13.3
#S  26   natural.Fe 
#N 8
#L NatAb/HalfLife  b_coh_real[fm]  b_coh_imag  b_incoh_real[fm]  Sigma_Coh[barn]  Sigma_Incoh[barn]  Sigma_Scat[barn]  Sigma_Abs[barn]  
1	9.45	0	9999	11.22	0.4	11.62	2.56
#S  27   natural.Co 
#N 8
#L NatAb/HalfLife  b_coh_real[fm]  b_coh_imag  b_incoh_real[fm]  Sigma_Coh[barn]  Sigma_Incoh[barn]  Sigma_Scat[barn]  Sigma_Abs[barn]  
100	2.49	0	-6.2	0.779	4.8	5.6	37.18
#S  28   natural.Ni 
#N 8
#L NatAb/HalfLife  b_coh_real[fm]  b_coh_imag  b_incoh_real[fm]  Sigma_Coh[barn]  Sigma_Incoh[barn]  Sigma_Scat[barn]  Sigma_Abs[barn]  
1	10.3	0	9999	13.3	5.2	18.5	4.49
#S  29   natural.Cu 
#N 8
#L NatAb/HalfLife  b_coh_real[fm]  b_coh_imag  b_incoh_real[fm]  Sigma_Coh[barn]  Sigma_Incoh[barn]  Sigma_Scat[barn]  Sigma_Abs[barn]  
1	7.718	0	9999	7.485	0.55	8.03	3.78
#S  30   natural.Zn 
#N 8
#L NatAb/HalfLife  b_coh_real[fm]  b_coh_imag  b_incoh_real[fm]  Sigma_Coh[barn]  Sigma_Incoh[barn]  Sigma_Scat[barn]  Sigma_Abs[barn]  
1	5.68	0	9999	4.054	0.077	4.131	1.11
#S  31   natural.Ga 
#N 8
#L NatAb/HalfLife  b_coh_real[fm]  b_coh_imag  b_incoh_real[fm]  Sigma_Coh[barn]  Sigma_Incoh[barn]  Sigma_Scat[barn]  Sigma_Abs[barn]  
1	7.288	0	9999	6.675	0.16	6.83	2.75
#S  32   natural.Ge 
#N 8
#L NatAb/HalfLife  b_coh_real[fm]  b_coh_imag  b_incoh_real[fm]  Sigma_Coh[barn]  Sigma_Incoh[barn]  Sigma_Scat[barn]  Sigma_Abs[barn]  
1	8.185	0	9999	8.42	0.18	8.6	2.2
#S  33   natural.As 
#N 8
#L NatAb/HalfLife  b_coh_real[fm]  b_coh_imag  b_incoh_real[fm]  Sigma_Coh[barn]  Sigma_Incoh[barn]  Sigma_Scat[barn]  Sigma_Abs[barn]  
100	6.58	0	-0.69	5.44	0.06	5.5	4.5
#S  34   natural.Se 
#N 8
#L NatAb/HalfLife  b_coh_real[fm]  b_coh_imag  b_incoh_real[fm]  Sigma_Coh[barn]  Sigma_Incoh[barn]  Sigma_Scat[barn]  Sigma_Abs[barn]  
1	7.97	0	9999	7.98	0.32	8.3	11.7
#S  35   natural.Br 
#N 8
#L NatAb/HalfLife  b_coh_real[fm]  b_coh_imag  b_incoh_real[fm]  Sigma_Coh[barn]  Sigma_Incoh[barn]  Sigma_Scat[barn]  Sigma_Abs[barn]  
1	6.795	0	9999	5.8	0.1	5.9	6.9
#S  36   natural.Kr 
#N 8
#L NatAb/HalfLife  b_coh_real[fm]  b_coh_imag  b_incoh_real[fm]  Sigma_Coh[barn]  Sigma_Incoh[barn]  Sigma_Scat[barn]  Sigma_Abs[barn]  
1	7.81	0	9999	7.67	0.01	7.68	25.
#S  37   natural.Rb 
#N 8
#L NatAb/HalfLife  b_coh_real[fm]  b_coh_imag  b_incoh_real[fm]  Sigma_Coh[barn]  Sigma_Incoh[barn]  Sigma_Scat[barn]  Sigma_Abs[barn]  
1	7.09	0	9999	6.32	0.5	6.8	0.38
#S  38   natural.Sr 
#N 8
#L NatAb/HalfLife  b_coh_real[fm]  b_coh_imag  b_incoh_real[fm]  Sigma_Coh[barn]  Sigma_Incoh[barn]  Sigma_Scat[barn]  Sigma_Abs[barn]  
1	7.02	0	9999	6.19	0.06	6.25	1.28
#S  39   natural.Y 
#N 8
#L NatAb/HalfLife  b_coh_real[fm]  b_coh_imag  b_incoh_real[fm]  Sigma_Coh[barn]  Sigma_Incoh[barn]  Sigma_Scat[barn]  Sigma_Abs[barn]  
100	7.75	0	1.1	7.55	0.15	7.7	1.28
#S  40   natural.Zr 
#N 8
#L NatAb/HalfLife  b_coh_real[fm]  b_coh_imag  b_incoh_real[fm]  Sigma_Coh[barn]  Sigma_Incoh[barn]  Sigma_Scat[barn]  Sigma_Abs[barn]  
1	7.16	0	9999	6.44	0.02	6.46	0.185
#S  41   natural.Nb 
#N 8
#L NatAb/HalfLife  b_coh_real[fm]  b_coh_imag  b_incoh_real[fm]  Sigma_Coh[barn]  Sigma_Incoh[barn]  Sigma_Scat[barn]  Sigma_Abs[barn]  
100	7.054	0	-0.139	6.253	0.0024	6.255	1.15
#S  42   natural.Mo 
#N 8
#L NatAb/HalfLife  b_coh_real[fm]  b_coh_imag  b_incoh_real[fm]  Sigma_Coh[barn]  Sigma_Incoh[barn]  Sigma_Scat[barn]  Sigma_Abs[barn]  
1	6.715	0	9999	5.67	0.04	5.71	2.48
#S  43   natural.Tc 
#N 8
#L NatAb/HalfLife  b_coh_real[fm]  b_coh_imag  b_incoh_real[fm]  Sigma_Coh[barn]  Sigma_Incoh[barn]  Sigma_Scat[barn]  Sigma_Abs[barn]  
2.3E5a	6.8	0	9999	5.8	0.5	6.3	20.
#S  44   natural.Ru 
#N 8
#L NatAb/HalfLife  b_coh_real[fm]  b_coh_imag  b_incoh_real[fm]  Sigma_Coh[barn]  Sigma_Incoh[barn]  Sigma_Scat[barn]  Sigma_Abs[barn]  
1	7.03	0	9999	6.21	0.4	6.6	2.56
#S  45   natural.Rh 
#N 8
#L NatAb/HalfLife  b_coh_real[fm]  b_coh_imag  b_incoh_real[fm]  Sigma_Coh[barn]  Sigma_Incoh[barn]  Sigma_Scat[barn]  Sigma_Abs[barn]  
100	5.88	0	9999	4.34	0.3	4.6	144.8
#S  46   natural.Pd 
#N 8
#L NatAb/HalfLife  b_coh_real[fm]  b_coh_imag  b_incoh_real[fm]  Sigma_Coh[barn]  Sigma_Incoh[barn]  Sigma_Scat[barn]  Sigma_Abs[barn]  
1	5.91	0	9999	4.39	0.093	4.48	6.9
#S  47   natural.Ag 
#N 8
#L NatAb/HalfLife  b_coh_real[fm]  b_coh_imag  b_incoh_real[fm]  Sigma_Coh[barn]  Sigma_Incoh[barn]  Sigma_Scat[barn]  Sigma_Abs[barn]  
1	5.922	0	9999	4.407	0.58	4.99	63.3
#S  48   natural.Cd 
#N 8
#L NatAb/HalfLife  b_coh_real[fm]  b_coh_imag  b_incoh_real[fm]  Sigma_Coh[barn]  Sigma_Incoh[barn]  Sigma_Scat[barn]  Sigma_Abs[barn]  
1	4.87	-0.7	9999	3.04	3.46	6.5	2520.
