#F XAFS_McKale.dat
#UT McKale XAFS phases.
#U3W Sheet_McKale
#UIDL xmckale
#C  This file has been created using XAFS_McKale.pro on Tue Sep  3 14:53:00 1996
#UD McKale XAFS phases.
#UD 
#UD McKale XAFS phases K and L edges, and for  two values
#UD of R: R=2.5 A  (250 in the scan title) and R=4.0 A
#UD (400 in the scan title).
#UD Reference: 
#UD McKale A.G., Veal B.W., Paulikas A.P., Chan S.K. 
#UD and Knapp G.S. (1988) J. Amer.Chem.Soc. 110,3763
#UD Column description: 1: k(wavenumber A^-1), 
#UD    2: phase as photoabsorber, 3: modulus, 4: phase.
#UD 
#S 5  B K 250
#N 4
#L  K  FC  M  F
#L  K  FC  M  F
   1.50000  -6.02549   1.39138   0.81772
   1.60000  -6.07150   1.33781   0.67208
   1.70000  -6.11752   1.29382   0.54138
   1.80000  -6.16353   1.25577   0.42436
   2.00000  -6.25556   1.18831   0.22728
   2.20000  -6.34759   1.12307   0.07414
   2.40000  -6.43962   1.05368  -0.04055
   2.60000  -6.53165   0.97803  -0.12003
   2.80000  -6.62368   0.89529  -0.17707
   3.00000  -6.71571   0.80847  -0.21731
   3.20000  -6.80774   0.72220  -0.25051
   3.40000  -6.89977   0.64144  -0.28610
   3.60000  -6.99180   0.57013  -0.33154
   3.80000  -7.08383   0.51043  -0.39095
   4.00000  -7.17484   0.46266  -0.46435
   4.20000  -7.26079   0.42561  -0.54803
   4.40000  -7.33134   0.39691  -0.63607
   4.60000  -7.39964   0.37371  -0.72258
   4.80000  -7.48403   0.35320  -0.80334
   5.00000  -7.58906   0.33513  -0.85466
   5.60000  -7.93282   0.26568  -1.02599
   6.00000  -8.12787   0.21879  -1.13433
   6.50000  -8.30318   0.17372  -1.28669
   7.00000  -8.43911   0.14890  -1.44824
   7.50000  -8.58489   0.13632  -1.58928
   8.00000  -8.75694   0.12399  -1.70764
   9.00000  -8.99855   0.08854  -1.95791
  10.00000  -9.20367   0.07134  -2.16885
  11.00000  -9.38431   0.05936  -2.33655
  12.00000  -9.53301   0.04561  -2.57382
  13.00000  -9.67435   0.04037  -2.67982
  14.00000  -9.78974   0.03419  -2.82814
  15.00000  -9.90241   0.02833  -3.02364
  16.00000 -10.00999   0.02567  -3.06294
  17.00000 -10.11756   0.02219  -3.21790
  18.00000 -10.22512   0.01933  -3.35728
  19.00000 -10.33269   0.01764  -3.36691
#S 6  C K 400
#N 4
#L  K  FC  M  F
   1.50000  -6.02549   1.28916   0.27867
   1.60000  -6.07150   1.27324   0.17994
   1.70000  -6.11752   1.25856   0.09026
   1.80000  -6.16353   1.24396   0.00917
   2.00000  -6.25556   1.21173  -0.12837
   2.20000  -6.34759   1.17151  -0.23453
   2.40000  -6.43962   1.11995  -0.31132
   2.60000  -6.53165   1.05583  -0.35979
   2.80000  -6.62368   0.97915  -0.39030
   3.00000  -6.71571   0.89285  -0.40737
   3.20000  -6.80774   0.80217  -0.41963
   3.40000  -6.89977   0.71314  -0.43574
   3.60000  -6.99180   0.63108  -0.46298
   3.80000  -7.08383   0.55960  -0.50600
   4.00000  -7.17484   0.50039  -0.56590
   4.20000  -7.26079   0.45335  -0.63990
   4.40000  -7.33134   0.41689  -0.72206
   4.60000  -7.39964   0.38841  -0.80527
   4.80000  -7.48403   0.36489  -0.88352
   5.00000  -7.58906   0.34657  -0.93063
   5.60000  -7.93282   0.27726  -1.08118
   6.00000  -8.12787   0.22906  -1.17327
   6.50000  -8.30318   0.18034  -1.31399
   7.00000  -8.43911   0.15192  -1.47793
   7.50000  -8.58489   0.13737  -1.62257
   8.00000  -8.75694   0.12438  -1.73313
   9.00000  -8.99855   0.08840  -1.95030
  10.00000  -9.20367   0.07076  -2.18204
  11.00000  -9.38431   0.05882  -2.33669
  12.00000  -9.53301   0.04495  -2.57004
  13.00000  -9.67435   0.04004  -2.69370
  14.00000  -9.78974   0.03367  -2.82751
  15.00000  -9.90241   0.02799  -3.02793
  16.00000 -10.00999   0.02554  -3.07737
  17.00000 -10.11756   0.02181  -3.21939
  18.00000 -10.22512   0.01924  -3.36585
  19.00000 -10.33269   0.01756  -3.38013
#S 6  C L 250
#N 4
#L  K  FC  M  F
   1.50000  -6.02549   1.49572   2.54279
   1.60000  -6.07150   1.29938   2.24917
   1.70000  -6.11752   1.16561   1.97301
   1.80000  -6.16353   1.07428   1.71817
   2.00000  -6.25556   0.96657   1.28056
   2.20000  -6.34759   0.90639   0.93786
   2.40000  -6.43962   0.86026   0.67751
   2.60000  -6.53165   0.81368   0.48702
   2.80000  -6.62368   0.76093   0.34411
   3.00000  -6.71571   0.70243   0.23851
   3.20000  -6.80774   0.64155   0.15689
   3.40000  -6.89977   0.58258   0.08723
   3.60000  -6.99180   0.52910   0.01978
   3.80000  -7.08383   0.48314  -0.05212
   4.00000  -7.17484   0.44516  -0.13157
   4.20000  -7.26079   0.41442  -0.21832
   4.40000  -7.33134   0.38940  -0.30969
   4.60000  -7.39964   0.36819  -0.40195
   4.80000  -7.48403   0.34888  -0.49165
   5.00000  -7.58906   0.33204  -0.55738
   5.60000  -7.93282   0.26603  -0.77077
   6.00000  -8.12787   0.22063  -0.90045
   6.50000  -8.30318   0.17569  -1.06629
   7.00000  -8.43911   0.14996  -1.23197
   7.50000  -8.58489   0.13684  -1.37847
   8.00000  -8.75694   0.12483  -1.50689
   9.00000  -8.99855   0.09021  -1.77899
  10.00000  -9.20367   0.07180  -2.00450
  11.00000  -9.38431   0.06001  -2.18662
  12.00000  -9.53301   0.04609  -2.43631
  13.00000  -9.67435   0.04048  -2.55381
  14.00000  -9.78974   0.03444  -2.70902
  15.00000  -9.90241   0.02847  -2.91455
  16.00000 -10.00999   0.02570  -2.96152
  17.00000 -10.11756   0.02229  -3.11958
  18.00000 -10.22512   0.01938  -3.26801
  19.00000 -10.33269   0.01765  -3.28164
#S 6  C L 400
#N 4
#L  K  FC  M  F
   1.50000  -6.02549   1.12079   1.18372
