#F CrossSec_Compton_KleinNishina.dat
#C  This file has been created using CrossSec_Compton_KleinNishina.pro on Fri Jan 31 16:16:03 2003
#C  This file belongs to the DABAX library. More information on
#C  DABAX can be found at:
#C  http://www.esrf.fr/computing/scientific/dabax
#D Fri Jan 31 16:16:03 2003
#UIDL xcrosssec
#UT Compton Cross Sections from Klein-Nishina formula 
#UD Compton Cross Sections from Klein-Nishina formula 
#UD
#UD
#UD
#UD Data in this file has been calculated using the Klein-Nishina
#UD formula. It is valid for describing the Compton scattering by
#UD free electrons.
#UD 
#UD See for example the formula 19 in: 
#UD      Davisson & Evans, Rev Mod Phys, 24 (1952) 79-109
#UD
#UD 
#UD The Compton cross sections is calculated in the energy range 
#UD 1 keV to 10 MeV in a 100 points logarithmic grid for the elements 
#UD Z = 1 - 90.
#UD
#UD Note that the curve for all elements is the same except the  
#UD proportionality factor Z
#UD
#UD
#UD Column description 
#UD 1: PhotonEnergy[kev]
#UD 2: Compton(incoherent)[barn/atom] 
#UD
#S   1 H 
#N 2
#L PhotonEnergy[keV]  Compton(incoherent)[barn/atom] 
       4357.9130     0.090762975
       4480.2537     0.089126886
       4606.0288     0.087513519
       4735.3349     0.085922765
       4868.2710     0.084354506
       5004.9391     0.082808624
       5145.4439     0.081284989
       5289.8931     0.079783472
       5438.3974     0.078303936
       5591.0708     0.076846239
       5748.0302     0.075410235
       5909.3959     0.073995773
       6075.2917     0.072602700
       6245.8447     0.071230854
       6421.1857     0.069880075
       6601.4491     0.068550193
       6786.7731     0.067241039
       6977.2996     0.065952439
       7173.1749     0.064684213
       7374.5491     0.063436183
       7581.5765     0.062208163
       7794.4158     0.060999967
       8013.2301     0.059811405
       8238.1873     0.058642286
       8469.4598     0.057492415
       8707.2248     0.056361594
       8951.6647     0.055249627
       9202.9668     0.054156311
       9461.3238     0.053081445
       9726.9336     0.052024824
       10000.000     0.050986244
#S   2 He
#N 2
#L PhotonEnergy[keV]  Compton(incoherent)[barn/atom] 
     0.010000000       1.3228208
     0.010280732       1.3396333
     0.010569346       1.3247192
     0.010866061       1.3315578
     0.011171107       1.3364249
     0.011484715       1.3330559
     0.011807128       1.3226273
     0.012138593       1.3357074
     0.012479362       1.3248608
     0.012829698       1.3266188
     0.013189869       1.3267463
     0.013560151       1.3260606
     0.013940828       1.3346180
     0.014332192       1.3349534
     0.014734543       1.3331939
     0.015148189       1.3264935
     0.015573448       1.3296396
     0.016010645       1.3324241
     0.016460115       1.3308772
     0.016922204       1.3317827
     0.017397264       1.3330660
     0.017885662       1.3319047
     0.018387770       1.3317014
     0.018903974       1.3291436
     0.019434669       1.3312966
     0.019980263       1.3320007
     0.020541173       1.3298026
     0.021117830       1.3302585
     0.021710676       1.3314461
     0.022320165       1.3294745
     0.022946764       1.3311465
     0.023590953       1.3302906
     0.024253227       1.3302265
     0.024934094       1.3304895
     0.025634074       1.3302539
     0.026353705       1.3298738
     0.027093539       1.3303184
     0.027854142       1.3308757
     0.028636097       1.3308214
     0.029440005       1.3306792
     0.030266481       1.3310152
     0.031116158       1.3301865
     0.031989689       1.3302350
     0.032887743       1.3305390
     0.033811008       1.3304016
     0.034760192       1.3307014
     0.035736022       1.3303828
     0.036739248       1.3307747
     0.037770637       1.3303997
     0.038830980       1.3305496
     0.039921091       1.3304760
     0.041041805       1.3306156
     0.042193981       1.3306975
     0.043378502       1.3304905
     0.044596276       1.3305907
     0.045848238       1.3304222
     0.047135345       1.3303801
     0.048458586       1.3305155
     0.049818975       1.3305230
     0.051217554       1.3305085
     0.052655396       1.3303940
     0.054133603       1.3304485
     0.055653308       1.3305219
     0.057215676       1.3304416
     0.058821904       1.3303984
     0.060473224       1.3303583
     0.062170903       1.3303938
     0.063916241       1.3304501
     0.065710575       1.3303524
     0.067555283       1.3303792
     0.069451778       1.3303999
     0.071401513       1.3303525
     0.073405984       1.3303491
     0.075466726       1.3303585
     0.077585321       1.3303503
     0.079763391       1.3303285
     0.082002606       1.3303180
     0.084304684       1.3303195
     0.086671388       1.3302632
     0.089104533       1.3302521
     0.091605985       1.3302594
     0.094177660       1.3302519
     0.096821531       1.3302272
     0.099539623       1.3302210
      0.10233402       1.3302008
      0.10520687       1.3301856
      0.10816036       1.3301658
      0.11119677       1.3301614
      0.11431843       1.3301491
      0.11752771       1.3301325
      0.12082709       1.3301040
      0.12421910       1.3300837
      0.12770633       1.3300779
      0.13129146       1.3300512
      0.13497723       1.3300292
      0.13876648       1.3300169
      0.14266210       1.3299993
      0.14666709       1.3299735
      0.15078450       1.3299513
      0.15501751       1.3299298
      0.15936935       1.3299106
      0.16384336       1.3298823
      0.16844298       1.3298625
      0.17317171       1.3298345
      0.17803320       1.3298085
      0.18303117       1.3297836
      0.18816944       1.3297595
      0.19345197       1.3297309
      0.19888279       1.3297001
      0.20446607       1.3296713
      0.21020609       1.3296431
      0.21610725       1.3296123
      0.22217408       1.3295818
      0.22841122       1.3295471
      0.23482346       1.3295145
      0.24141571       1.3294799
      0.24819303       1.3294455
      0.25516061       1.3294093
      0.26232379       1.3293724
      0.26968806       1.3293339
      0.27725908       1.3292950
      0.28504263       1.3292544
      0.29304470       1.3292119
      0.30127141       1.3291693
      0.30972907       1.3291256
      0.31842416       1.3290811
      0.32736335       1.3290339
      0.33655350       1.3289863
      0.34600164       1.3289374
      0.35571502       1.3288873
      0.36570109       1.3288353
      0.37596750       1.3287818
      0.38652212       1.3287272
      0.39737304       1.3286709
      0.40852858       1.3286129
      0.41999729       1.3285535
      0.43178797       1.3284924
      0.44390965       1.3284295
      0.45637163       1.3283649
      0.46918345       1.3282983
      0.48235494       1.3282299
      0.49589620       1.3281598
      0.50981761       1.3280876
      0.52412983       1.3280136
      0.53884384       1.3279372
      0.55397093       1.3278589
      0.56952268       1.3277783
      0.58551102       1.3276956
      0.60194820       1.3276104
      0.61884682       1.3275229
      0.63621985       1.3274329
      0.65408059       1.3273405
      0.67244274       1.3272455
      0.69132038       1.3271478
      0.71072797       1.3270474
      0.73068040       1.3269443
      0.75119295       1.3268381
      0.77228136       1.3267291
      0.79396178       1.3266171
      0.81625085       1.3265019
      0.83916564       1.3263835
      0.86272373       1.3262618
      0.88694317       1.3261368
      0.91184252       1.3260082
      0.93744088       1.3258761
      0.96375787       1.3257403
      0.99081366       1.3256007
       1.0186290       1.3254573
       1.0472252       1.3253099
       1.0766242       1.3251583
       1.1068485       1.3250026
       1.1379213       1.3248425
       1.1698664       1.3246780
       1.2027083       1.3245090
       1.2364722       1.3243353
       1.2711840       1.3241567
       1.3068702       1.3239732
       1.3435583       1.3237846
       1.3812763       1.3235908
       1.4200532       1.3233916
       1.4599187       1.3231869
       1.5009033       1.3229766
       1.5430385       1.3227604
       1.5863565       1.3225383
       1.6308907       1.3223100
       1.6766750       1.3220754
       1.7237447       1.3218344
       1.7721358       1.3215867
       1.8218853       1.3213322
       1.8730315       1.3210706
       1.9256136       1.3208019
       1.9796718       1.3205258
       2.0352475       1.3202421
       2.0923835       1.3199506
       2.1511234       1.3196510
       2.2115124       1.3193433
       2.2735967       1.3190271
       2.3374239       1.3187022
       2.4030429       1.3183684
       2.4705041       1.3180255
       2.5398591       1.3176732
       2.6111611       1.3173113
       2.6844648       1.3169395
       2.7598264       1.3165575
       2.8373036       1.3161651
       2.9169559       1.3157620
       2.9988442       1.3153479
       3.0830315       1.3149226
       3.1695821       1.3144857
       3.2585625       1.3140369
       3.3500408       1.3135760
       3.4440873       1.3131025
       3.5407739       1.3126162
       3.6401748       1.3121168
       3.7423663       1.3116038
       3.8474266       1.3110770
       3.9554362       1.3105360
       4.0664781       1.3099804
       4.1806372       1.3094098
       4.2980012       1.3088239
       4.4186600       1.3082223
       4.5427060       1.3076045
       4.6702344       1.3069702
       4.8013429       1.3063189
       4.9361321       1.3056502
       5.0747052       1.3049637
       5.2171686       1.3042589
       5.3636313       1.3035354
       5.5142057       1.3027926
       5.6690073       1.3020301
       5.8281546       1.3012475
       5.9917697       1.3004441
       6.1599780       1.2996196
       6.3329084       1.2987733
       6.5106936       1.2979048
       6.6934697       1.2970135
       6.8813770       1.2960988
       7.0745594       1.2951603
       7.2731651       1.2941972
       7.4773463       1.2932090
       7.6872595       1.2921952
       7.9030657       1.2911551
       8.1249302       1.2900881
       8.3530232       1.2889935
       8.5875195       1.2878708
       8.8285988       1.2867192
       9.0764461       1.2855381
       9.3312512       1.2843269
       9.5932095       1.2830847
       9.8625218       1.2818110
       10.139395       1.2805050
