#F RadiativeRates_K_Scofield.dat
#UT X-ray emission rates for K shell
#C  This file has been created using RadiativeRates_K_Scofield.pro
#C  This file belongs to the DABAX library. More information on
#C  DABAX can be found at:
#C  http://www.esrf.fr/computing/scientific/dabax/
#UD X-ray emission rates for K shell
#UD 
#UD The data contained is in table 1 of:
#UD  Exchange corrections of K x-ray emission rates
#UD  J. H. Scofield
#UD  Phys. Rev. A 9 (1974) 1041-1049
#UD 
#UD Labels are in iupac notation. 
#UD     The other notations areunfder the keywords #UIUPAC,
#UD     #USIEGBAHN and #USHELL.
#UD 
#UD Missing elements are: 1-9,11,1221,27,31,39,41,43-46,48,49,52-54,55,57-59,
#UD 61,62,66,67,69,71,75-77,83,84,86-89,91,93-95,97,>=99
#UD 
#UD Column description: 
#UD 
#UD Column  iupac   siegbahn  shell
#UD      1:  KL2   Ka2       2P1/2
#UD      2:  KL3   Ka1       2P3/2
#UD      3:  KM2   Kb3       3P1/2
#UD      4:  KM3   Kb1       3P3/2
#UD      5:  KN2   K2b2      4P1/2
#UD      6:  KN3   K1b2      4P3/2
#UD      7:  KO23  X1         5P
#UD      8:  KO23  X2         6P
#UD 
#UD The scan #S 1000 contains the data for all the elements, 
#UD where the first column is the Atomic Number Z. 
#UD This is useful to make plots of the values of a given variable as a 
#UD function of Z.
#UD 
#S  10 Ne
#UIUPAC KL2  KL3  KM2  KM3  KN2  KN3  
#USIEGBAHN Ka2  Ka1  Kb3  Kb1  K2b2  K1b2  
#USHELL 2P1/2  2P3/2  3P1/2  3P3/2  4P1/2  4P3/2  
#L  KL2  KL3  KM2  KM3  KN2  KN3  
1.599  3.02  0.2789  0.543  0.0477  0.0925  
#S  50 Sn
#N  7
#UIUPAC KL2  KL3  KM2  KM3  KN2  KN3  KO23  
#USIEGBAHN Ka2  Ka1  Kb3  Kb1  K2b2  K1b2  X1  
#USHELL 2P1/2  2P3/2  3P1/2  3P3/2  4P1/2  4P3/2  5P  
#L  KL2  KL3  KM2  KM3  KN2  KN3  KO23  
2.080  3.89  0.372  0.722  0.0697  0.1356  0.0060  
#S  51 Sb
#N  7
#UIUPAC KL2  KL3  KM2  KM3  KN2  KN3  KO23  
#USIEGBAHN Ka2  Ka1  Kb3  Kb1  K2b2  K1b2  X1  
#USHELL 2P1/2  2P3/2  3P1/2  3P3/2  4P1/2  4P3/2  5P  
#L  KL2  KL3  KM2  KM3  KN2  KN3  KO23  
2.263  4.22  0.407  0.790  0.0785  0.1529  0.0114  
#S  54 Xe
#N  7
#UIUPAC KL2  KL3  KM2  KM3  KN2  KN3  KO23  
#USIEGBAHN Ka2  Ka1  Kb3  Kb1  K2b2  K1b2  X1  
#USHELL 2P1/2  2P3/2  3P1/2  3P3/2  4P1/2  4P3/2  5P  
#L  KL2  KL3  KM2  KM3  KN2  KN3  KO23  
2.883  5.34  0.527  1.022  0.1073  0.2100  0.0399  
#S  56 Ba
#N  7
#UIUPAC KL2  KL3  KM2  KM3  KN2  KN3  KO23  
#USIEGBAHN Ka2  Ka1  Kb3  Kb1  K2b2  K1b2  X1  
#USHELL 2P1/2  2P3/2  3P1/2  3P3/2  4P1/2  4P3/2  5P  
#L  KL2  KL3  KM2  KM3  KN2  KN3  KO23  
3.36  6.20  0.621  1.204  0.1317  0.2581  0.0622  
#S  60 Nd
#N  7
#UIUPAC KL2  KL3  KM2  KM3  KN2  KN3  KO23  
#USIEGBAHN Ka2  Ka1  Kb3  Kb1  K2b2  K1b2  X1  
#USHELL 2P1/2  2P3/2  3P1/2  3P3/2  4P1/2  4P3/2  5P  
#L  KL2  KL3  KM2  KM3  KN2  KN3  KO23  
4.51  8.21  0.845  1.636  0.1857  0.363  0.0807  
#S  63 Eu
#N  7
#UIUPAC KL2  KL3  KM2  KM3  KN2  KN3  KO23  
#USIEGBAHN Ka2  Ka1  Kb3  Kb1  K2b2  K1b2  X1  
#USHELL 2P1/2  2P3/2  3P1/2  3P3/2  4P1/2  4P3/2  5P  
#L  KL2  KL3  KM2  KM3  KN2  KN3  KO23  
5.54  10.00  1.050  2.031  0.2344  0.458  0.0969  
#S  64 Gd
#N  7
#UIUPAC KL2  KL3  KM2  KM3  KN2  KN3  KO23  
#USIEGBAHN Ka2  Ka1  Kb3  Kb1  K2b2  K1b2  X1  
